TaskNumber,DrugName,FullText
1,Vecuronium,Prepare and administer 6 mL of Vecuronium
2,Midazolam,Prepare and administer 8 mL of Midazolam
3,Atropine,Prepare and administer 12 mL of Atropine
4,Lidocaine,Prepare and administer 4 mL of Lidocaine
5,Lidocaine,Prepare and administer 7 mL of Lidocaine
6,Midazolam,Prepare and administer 5 mL of Midazolam
7,Propofol,Prepare and administer 22 mL of Propofol
8,Rocuronium,Prepare and administer 12 mL of Rocuronium
9,Propofol,Prepare and administer 28 mL of Propofol
10,Atropine,Prepare and administer 12 mL of Atropine
11,Succinylcholine,Prepare and administer 8 mL of Succinylcholine
12,Lidocaine,Prepare and administer 4 mL of Lidocaine
13,Fentanyl,Prepare and administer 4 mL of Fentanyl
14,Vecuronium,Prepare and administer 3 mL of Vecuronium
15,Fentanyl,Prepare and administer 2 mL of Fentanyl
16,Succinylcholine,Prepare and administer 7 mL of Succinylcholine
17,Fentanyl,Prepare and administer 3 mL of Fentanyl
18,Fentanyl,Prepare and administer 1 mL of Fentanyl
19,Rocuronium,Prepare and administer 3 mL of Rocuronium
20,Fentanyl,Prepare and administer 4 mL of Fentanyl
21,Vecuronium,Prepare and administer 5 mL of Vecuronium
22,Atropine,Prepare and administer 13 mL of Atropine
23,Atropine,Prepare and administer 15 mL of Atropine
24,Succinylcholine,Prepare and administer 8 mL of Succinylcholine
25,Lidocaine,Prepare and administer 6 mL of Lidocaine
26,Lidocaine,Prepare and administer 3 mL of Lidocaine
27,Vecuronium,Prepare and administer 6 mL of Vecuronium
28,Propofol,Prepare and administer 13 mL of Propofol
29,Rocuronium,Prepare and administer 4 mL of Rocuronium
30,Propofol,Prepare and administer 25 mL of Propofol
31,Rocuronium,Prepare and administer 5 mL of Rocuronium
32,Atropine,Prepare and administer 18 mL of Atropine
33,Succinylcholine,Prepare and administer 4 mL of Succinylcholine
34,Rocuronium,Prepare and administer 10 mL of Rocuronium
35,Midazolam,Prepare and administer 9 mL of Midazolam
36,Propofol,Prepare and administer 17 mL of Propofol
37,Rocuronium,Prepare and administer 8 mL of Rocuronium
38,Lidocaine,Prepare and administer 6 mL of Lidocaine
39,Succinylcholine,Prepare and administer 6 mL of Succinylcholine
40,Vecuronium,Prepare and administer 3 mL of Vecuronium
41,Lidocaine,Prepare and administer 6 mL of Lidocaine
42,Fentanyl,Prepare and administer 2 mL of Fentanyl
43,Vecuronium,Prepare and administer 5 mL of Vecuronium
44,Fentanyl,Prepare and administer 3 mL of Fentanyl
45,Vecuronium,Prepare and administer 6 mL of Vecuronium
46,Rocuronium,Prepare and administer 6 mL of Rocuronium
47,Rocuronium,Prepare and administer 9 mL of Rocuronium
48,Atropine,Prepare and administer 13 mL of Atropine
49,Rocuronium,Prepare and administer 10 mL of Rocuronium
50,Succinylcholine,Prepare and administer 6 mL of Succinylcholine
51,Rocuronium,Prepare and administer 7 mL of Rocuronium
52,Fentanyl,Prepare and administer 1 mL of Fentanyl
53,Propofol,Prepare and administer 24 mL of Propofol
54,Rocuronium,Prepare and administer 5 mL of Rocuronium
55,Lidocaine,Prepare and administer 3 mL of Lidocaine
56,Midazolam,Prepare and administer 5 mL of Midazolam
57,Atropine,Prepare and administer 17 mL of Atropine
58,Rocuronium,Prepare and administer 3 mL of Rocuronium
59,Succinylcholine,Prepare and administer 7 mL of Succinylcholine
60,Rocuronium,Prepare and administer 9 mL of Rocuronium
61,Atropine,Prepare and administer 17 mL of Atropine
62,Succinylcholine,Prepare and administer 4 mL of Succinylcholine
63,Midazolam,Prepare and administer 6 mL of Midazolam
64,Propofol,Prepare and administer 15 mL of Propofol
65,Rocuronium,Prepare and administer 11 mL of Rocuronium
66,Rocuronium,Prepare and administer 7 mL of Rocuronium
67,Atropine,Prepare and administer 19 mL of Atropine
68,Midazolam,Prepare and administer 3 mL of Midazolam
69,Propofol,Prepare and administer 11 mL of Propofol
70,Rocuronium,Prepare and administer 4 mL of Rocuronium
71,Succinylcholine,Prepare and administer 7 mL of Succinylcholine
72,Lidocaine,Prepare and administer 7 mL of Lidocaine
73,Vecuronium,Prepare and administer 4 mL of Vecuronium
74,Propofol,Prepare and administer 19 mL of Propofol
75,Lidocaine,Prepare and administer 7 mL of Lidocaine
76,Midazolam,Prepare and administer 3 mL of Midazolam
77,Midazolam,Prepare and administer 7 mL of Midazolam
78,Propofol,Prepare and administer 23 mL of Propofol
79,Fentanyl,Prepare and administer 4 mL of Fentanyl
80,Atropine,Prepare and administer 10 mL of Atropine
81,Propofol,Prepare and administer 12 mL of Propofol
82,Succinylcholine,Prepare and administer 8 mL of Succinylcholine
83,Lidocaine,Prepare and administer 5 mL of Lidocaine
84,Vecuronium,Prepare and administer 6 mL of Vecuronium
85,Lidocaine,Prepare and administer 3 mL of Lidocaine
86,Propofol,Prepare and administer 18 mL of Propofol
87,Fentanyl,Prepare and administer 3 mL of Fentanyl
88,Rocuronium,Prepare and administer 12 mL of Rocuronium
89,Succinylcholine,Prepare and administer 4 mL of Succinylcholine
90,Atropine,Prepare and administer 16 mL of Atropine
91,Propofol,Prepare and administer 16 mL of Propofol
92,Fentanyl,Prepare and administer 4 mL of Fentanyl
93,Atropine,Prepare and administer 14 mL of Atropine
94,Midazolam,Prepare and administer 7 mL of Midazolam
95,Midazolam,Prepare and administer 6 mL of Midazolam
96,Atropine,Prepare and administer 18 mL of Atropine
97,Midazolam,Prepare and administer 8 mL of Midazolam
98,Fentanyl,Prepare and administer 1 mL of Fentanyl
99,Fentanyl,Prepare and administer 2 mL of Fentanyl
100,Succinylcholine,Prepare and administer 3 mL of Succinylcholine
101,Vecuronium,Prepare and administer 4 mL of Vecuronium
102,Vecuronium,Prepare and administer 4 mL of Vecuronium
103,Succinylcholine,Prepare and administer 6 mL of Succinylcholine
104,Lidocaine,Prepare and administer 6 mL of Lidocaine
105,Succinylcholine,Prepare and administer 9 mL of Succinylcholine
106,Midazolam,Prepare and administer 4 mL of Midazolam
107,Propofol,Prepare and administer 27 mL of Propofol
108,Fentanyl,Prepare and administer 2 mL of Fentanyl
109,Vecuronium,Prepare and administer 4 mL of Vecuronium
110,Vecuronium,Prepare and administer 3 mL of Vecuronium
111,Fentanyl,Prepare and administer 4 mL of Fentanyl
112,Lidocaine,Prepare and administer 7 mL of Lidocaine
113,Vecuronium,Prepare and administer 5 mL of Vecuronium
114,Atropine,Prepare and administer 10 mL of Atropine
115,Rocuronium,Prepare and administer 6 mL of Rocuronium
116,Vecuronium,Prepare and administer 3 mL of Vecuronium
117,Succinylcholine,Prepare and administer 5 mL of Succinylcholine
118,Lidocaine,Prepare and administer 4 mL of Lidocaine
119,Vecuronium,Prepare and administer 5 mL of Vecuronium
120,Midazolam,Prepare and administer 4 mL of Midazolam
121,Succinylcholine,Prepare and administer 3 mL of Succinylcholine
122,Fentanyl,Prepare and administer 2 mL of Fentanyl
123,Succinylcholine,Prepare and administer 9 mL of Succinylcholine
124,Propofol,Prepare and administer 21 mL of Propofol
125,Lidocaine,Prepare and administer 5 mL of Lidocaine
126,Lidocaine,Prepare and administer 4 mL of Lidocaine
127,Fentanyl,Prepare and administer 1 mL of Fentanyl
128,Propofol,Prepare and administer 14 mL of Propofol
129,Lidocaine,Prepare and administer 5 mL of Lidocaine
130,Propofol,Prepare and administer 26 mL of Propofol
131,Lidocaine,Prepare and administer 3 mL of Lidocaine
132,Atropine,Prepare and administer 15 mL of Atropine
133,Midazolam,Prepare and administer 8 mL of Midazolam
134,Atropine,Prepare and administer 11 mL of Atropine
135,Atropine,Prepare and administer 16 mL of Atropine
136,Vecuronium,Prepare and administer 5 mL of Vecuronium
137,Vecuronium,Prepare and administer 3 mL of Vecuronium
138,Succinylcholine,Prepare and administer 3 mL of Succinylcholine
139,Fentanyl,Prepare and administer 1 mL of Fentanyl
140,Vecuronium,Prepare and administer 6 mL of Vecuronium
141,Atropine,Prepare and administer 14 mL of Atropine
142,Midazolam,Prepare and administer 9 mL of Midazolam
143,Vecuronium,Prepare and administer 4 mL of Vecuronium
144,Rocuronium,Prepare and administer 8 mL of Rocuronium
145,Lidocaine,Prepare and administer 5 mL of Lidocaine
146,Propofol,Prepare and administer 29 mL of Propofol
147,Succinylcholine,Prepare and administer 5 mL of Succinylcholine
148,Midazolam,Prepare and administer 6 mL of Midazolam
149,Midazolam,Prepare and administer 4 mL of Midazolam
150,Atropine,Prepare and administer 19 mL of Atropine
151,Rocuronium,Prepare and administer 11 mL of Rocuronium
152,Propofol,Prepare and administer 10 mL of Propofol
153,Midazolam,Prepare and administer 3 mL of Midazolam
154,Succinylcholine,Prepare and administer 5 mL of Succinylcholine
155,Fentanyl,Prepare and administer 3 mL of Fentanyl
156,Atropine,Prepare and administer 11 mL of Atropine
157,Propofol,Prepare and administer 20 mL of Propofol
158,Midazolam,Prepare and administer 5 mL of Midazolam
159,Midazolam,Prepare and administer 7 mL of Midazolam
160,Fentanyl,Prepare and administer 3 mL of Fentanyl
